section,japanese,english
曜日,日曜日,Sunday
曜日,月曜日,Monday
曜日,火曜日,Tuesday
曜日,水曜日,Wednesday
曜日,木曜日,Thursday
曜日,金曜日,Friday
曜日,土曜日,Saturday
月,1月,January
月,2月,February
月,3月,March
月,4月,April
月,5月,May
月,6月,June
月,7月,July
月,8月,August
月,9月,September
月,10月,October
月,11月,November
月,12月,December
季節・年月,春,spring
季節・年月,夏,summer
季節・年月,秋,autumn / fall
季節・年月,冬,winter
季節・年月,年,year
季節・年月,月,month
季節・年月,日,day
季節・年月,時,hour
季節・年月,分,minute
季節・年月,秒,second
あいさつ,こんにちは（いつでも使える）,Hello.
あいさつ,やあ、どうも（カジュアル）,Hi.
あいさつ,おはようございます,Good morning.
あいさつ,こんにちは（午後）,Good afternoon.
あいさつ,こんばんは,Good evening.
あいさつ,元気ですか？／調子はどうですか？,How are you?
あいさつ,おかげさまで元気です。,I'm fine, thank you.
あいさつ,まあまあです／大丈夫です。,I'm OK.
あいさつ,あなたは？（聞き返す時）,And you?
あいさつ,はじめまして。,Nice to meet you.
あいさつ,私の名前は〇〇です。,My name is [〇〇].
あいさつ,〇〇出身です。,I am from [〇〇].
あいさつ,さようなら。,Good-bye.
あいさつ,またね。,See you.
あいさつ,後でね。,See you later.
あいさつ,また明日。,See you tomorrow.
あいさつ,おやすみなさい（寝る時）,Good night.
